Feedback,Category,Sentiment
A nice place. I came in with extremely short nails... ok I bite them. I asked the technician if I could get a manicure or do I have to get a full set of nails. She didn't try to upsell me a full set. \nThe place was clean and the staff was friendly. And the price is extremely reasonable. I would tot,Administration,Positive
Given up on work for the night\u002c really CBA! Know I\u2019ll be able to concenttrate better tomorrow anyway. Plus I\u2019d rather talk to now!,Hostel,Neutral
"We just had fifty high school students interview here and it was a great location.  Kind of a ghost town because it's so large, but the space was really nice.  Our event coordinator was a bit worried because there were several different people involved (e.g., space, food, parking, etc.) but everythi",Facilities,Positive
Why does the Knicks/Heat game have to come on tomorrow night during BibleBall? Oh well I\u2019d rather play than watch any day!,Hostel,Negative
"""can I be the 3rd clumsy, funny blonde to finish Amy Schumer and JLaw's (incomplete?) friend trio?""",Others,Neutral
! FRIDAY OCT 19th!!!! THE ALUMNI will be rocking Philly!!!!! FREE SHOW @ the Liacouras Center 7pm CLASSIC HIP HOP!,Others,Positive
Flew two days after Christmas and there was basically one security line that took an eternity to get through. Technically there were multiple lines but we were told that one was first class & priority (Checkpoint C) and the other (Checkpoint D) we couldn't use for some other reason and we were told,Academics,Negative
Next Upper Room meeting this Wednesday in the Treacy Hall at 7.30pm. All welcome.,Facilities,Neutral
"Went to Mortons and the food was spot on. However, the service was not good. Waitress never checked on us, was not very farmiliar with menu. In the past the Wait staff was just as good at the food, but not this time. For the money spent we were highly disappointing.",Mess,Neutral
"Crappy's is more like it... sorry I could NOT resist!\n\nThis place is very below average.  The bar is small, good luck getting a seat, it's normally filled with regulars, who I have a sneaking suspicion drink for a reduced rate ;)   Also, the food is blah; they advertise that it is healthier becaus",Mess,Negative
"Not good at all.  I was there at 10:40, supposedly they open at 10:30, ordered food, asked at 10 to 11 if I could at least have my tea, the lady very rudely told me they had just opened and didn't have tea yet?  Finally brought my tea, I told her I did not want ice which she ignored, brought the won",Mess,Negative
"My in-law stayed here while visiting/job interviewing a few days ago, so based on her feedback...\n\nThe staff was happy and helpful, and she got a pretty good deal through Orbitz.- the cost ended up being only a few more dollars per night than the shiesty Holiday Inn that the company she was interv",Administration,Negative
"I have heard great things about the Palm and I think it is somewhat of a staple here in Charlotte but I have to say it honestly didn't live up to the hype in my opinion.\nI think your experience will depend upon your reasoning for choosing this restaurant..\nFor example, we chose this to celebrate o",Others,Neutral
the story drifts so inexorably into cliches about tortured ( and torturing ) artists and consuming but impossible love that you can't help but become more disappointed as each overwrought new sequence plods on .,Faculty,Negative
Ice Cube gives Iggy Azalea the nod of approval: 'She makes dope songs' | Music | The Guardian,Administration,Positive
well tomorrow you have to share a bed with ash.............i dont really know what is worse!!,Hostel,Negative
"Not only do I love the food here, I'm impressed at Johnny's ability to compete with the big chains.  It's not uncommon for there to be a line out the door at this place during lunch time.  Varied meat choices, great toppings, local produce, and a great bang for the buck are just a few reasons to com",Mess,Positive
I encountered a problem with my Real Madrid jersey and was wondering if you may help.,Faculty,Neutral
"I love coming to Soba -- everything I have ever had here has been wonderful, from happy hour cocktails and appetizers to full course meals. I can never pass up the crispy tofu (which is also great at Mad Mex) -- it's the perfect balance of sweet and tart. For dinner, I realize the menu changes all t",Mess,Positive
"Unfortunately, campus infrastructure doesn't support growth and expansion plans",Facilities,Negative
Faculty organize guest lectures and workshops with industry practitioners.,Faculty,Positive
"I really enjoyed my Mongolian beef and pork pot stickers, but \nThere was NO presentation of pfc mixing sauces. \nOne of the things that sets pfc apart from the run of the mill Non franchise is PRESENTATION and experience.  I was extremely disappointed by the LACK of presentation. \n\nReservations:\",Others,Negative
It is disappointing that lecturers use outdated examples and do not update their course content.,Faculty,Negative
Sooooo....Chef Kerry has an extra ticket to the Owls Head Transportation Museum Gala on September 12. Kerry and...,Mess,Neutral
I was happy to find that the college auditorium is spacious and equipped with modern AV systems.,Facilities,Positive
"This school is a terrible deal for what you pay.  I got my math degree here, and I feel my educations was average at best, so why did I pay twice as much? They don't have rigorous science programs here, and even their beloved pharmacy school seems to be self-serving to artificially inflate graduatio",Academics,Negative
Always a good time. Excellent set up for any weather situation. They tend to have live music on Fridays and Saturdays. The Wine Vault sells local beers an wine ice cold available for purchase by the glass and bottle. Very knowledgeable staff and chill atmosphere. Dog and kid friendly as well.,Administration,Positive
i am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard dawson .,Others,Positive
July 19 (Infostrada Sports) - Scores from the British Open at the par-72 course on Sunday in St Andrews -12 Paul Dunne (Ireland) 69 69 66,Academics,Neutral
"Yeah, I liked this place, but I wasn't blown away like some of the other reviews. I'd say it's a solid Restaurant Week choice, but I wouldn't have wanted to pay their regular rates. I'll take it one course at a time:\n\nBread - I was super excited to try the kudzu butter, because of the rave reviews",Academics,Neutral
Most lecture content is standard but some professors add personal insights.,Faculty,Neutral
If you are looking for a place that has high class  decor.... this place is definitely NOT for you at all.  If you want a REAL down to earth place without any fakeness... this is definitely the place for you.  This is a very tiny place that hold 18 people \ninside (plus two table on the outside)\n\n,Academics,Positive
"On balance, the administration maintains relationships with alumni and community partners.",Administration,Neutral
"I'm simply not a fan of this place and don't plan on going back so let me explain why... \n\nLast fall, before a panthers game I came here and had a pretty decent lunch-I had a tasty buffalo chicken wrap with fries and two Bloody Mary's (yes it was one of those Sundays) and all was good. I left for",Mess,Negative
"This is a hidden secret of Pittsburgh.\n\nThe restaurant is in the cafeteria of the church.  I go their for lunch.  The service is quick, the food is homemade, and the price is right.\n\nThe food is traditional american food.  They serve wraps, fish, yogurt, fruit, salads and soups.  They have a dif",Mess,Neutral
Sarah Palin may be the only reporter Donald Trump wants to have on his campaign bus because she asks only questions Trump needs her to ask.,Facilities,Negative
Happy 29th Birthday to our Library! Free outdoor movie Jurassic Park tonight at 8pm,Facilities,Positive
"If you are interested in my next Google+ for Business workshop 10 September Derby,Direct Message me for details and a chat",Facilities,Neutral
Student services accessibility is adequate though improvements needed for disabled students,Others,Neutral
Night Crumbs: The Nanny and the Lexus that may or may not have been bought with Ben Affle... follow 4mor,Hostel,Neutral
ha ha yeah you\u2019re right! Well forget Pires\u002c Mulleady on Saturday at Kilbeggan is the next sure thing! Lol if she runs of course.,Academics,Positive
AAs being regulated to Feb I agree with you. Malcolm X being taught in 2nd grade I can go either way on.,Academics,Neutral
"""So I'm listening to this Beatles' playlist to study for my Beatles midterm on Friday, and fucking SNSD is one of the related videos. """,Academics,Negative
Crazy how sports econpmics have changed. Larry Bird\u2019s rookie deal was 5 yrs\u002c $3.25 M total. 6th pick Damian Lillard will make $3 M this YR.,Facilities,Neutral
College doesn't provide adequate support for students from minority communities,Others,Negative
"""I CANNOT wait until college football! Sept 14th, flying down with my brother to the Florida v Tennessee game, it's gonna be titss""",Others,Positive
Hope to hear more about Apple Watch than iPhone. Apple Invites Press To iPhone Event On September 9th,Others,Positive
"Schwinn Certification in Toronto October 24th at Hard Candy. Yes, that's Madonna's gym &amp; she's in town that month!",Facilities,Positive
Coming up in the 4pm (Eastern) hour\u002c another chance for you to win tickets to tomorrow night\u2019s Hudson Family...,Hostel,Neutral
Faculty professional growth is supported though individual planning would help,Faculty,Neutral
"Just got a club sub and there was no lettuce, tomato, onion oil vinegar nothing I ordered a # 8 , it clearly says on the sign it comes with mikes  way or whatever, I'm done with jersey mikes",Others,Negative
i was gonna spend this time reading the article I was assigned for class tomorrow but it's been 40 minutes n i'm still screaming about nicki,Academics,Neutral
"it doesn't help that the director and cinematographer stephen kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel .",Faculty,Negative
"I was underwhelmed with our dining experience. We are just learning Portuguese for an upcoming trip to Brazil and were excited about the option of using some of the vocab we had learned.\n\nMenu was somewhat limited, although we didn't try any starters which many of the other reviews state are the b",Academics,Negative
this Thursday's MSA meeting inshallah. Check out the Facebook event!,Others,Neutral
Academic support services provide tutoring and resources that improve student success.,Administration,Positive
"""To Benefit Special Olympics, Aug 2, Prince George's Cty Police All-Stars take on the Bowie Police All-Stars. Support!""",Faculty,Neutral
Okay guys going to take the night off to finally get rid if this cold. I'll be online tomorrow labor day for Harry Potter trivia,Hostel,Positive
"For the most part, computer labs are functional but the systems could use an upgrade.",Facilities,Neutral
In Manhattan? Please bring food/batteries to the residents of RFK apt East 13th St,Mess,Neutral
No proper medical facilities for emergency situations and health issues,Hostel,Negative
"Bank of America Stadium is home to my favorite sports team The Panthers.  If you are from out of town and you have never been here, expect a good time.  It is pretty easy to score tickets outside of the stadium even during a sold out game and there is plenty of great food and tailgating going on.  W",Facilities,Positive
george clooney proves he's quite a talented director and sam rockwell shows us he's a world-class actor with confessions of a dangerous mind .,Academics,Positive
"give shapiro , goldman , and bolado credit for good intentions , but there's nothing here that they couldn't have done in half an hour .",Academics,Negative
Remember to RSVP for our FREE Writer\u2019s Workshop next Thursday with Rosanne Bane. Rosanne is a Creativity Coach &...,Facilities,Neutral
"The William Penn Tavern is just a good place to have a cheap, decent beer, some light bar food, and catch a Pittsburgh sports game.  The place is usually packed with sports fans for any Pirates, Penguins or Steelers game.  \n\nThe three dollar signs are totally busted.  It should be one dollar sign.",Facilities,Neutral
"He may have played for Milan, but I enjoyed watching Pato. I hope he rediscovers his form &amp; returns to Serie A.""",Administration,Positive
"I was treated to Casbah for lunch by a potential employer who had passed me over, but really, really liked me. She said it was her favorite restaurant, but that she didn't go as often as she'd like.\n\nI knew the building from the early 80's when it had been one of Pittsburgh's dive gay bars called",Facilities,Neutral
Sports infrastructure is basic but serves the purpose for recreational activities,Facilities,Neutral
Elective options could be expanded but the current selection is adequate.,Academics,Neutral
Justin Bieber Is Working on His Man Bun (and His Tan) Over the Holiday Break: Man buns may not be the safest h...,Administration,Neutral
"It's with some regret that I rank the Shadyside Inn Suites so low. We were there for just one night, and overall the accommodations appear quite pleasant. \n\nFor starters, we arrived at the office to check in and the gentleman in the office was on the phone. Although we stood there for at least fiv",Administration,Negative
2nd Reading: James 2:1-5 Class distinction should have no place among Christians. God champions the poor in the world.,Academics,Positive
2nd Best Sports Moment: Rob Riggle hosting the ESPY Awards,Facilities,Positive
"I took a chance and entertained a very important customer at Savannah Red. \""In a Marriott??,\"" everyone asked?  Right.  How good could it be?    Well, outstanding.  Service (thanks Deanna) and food were excellent.  Food was fresh and well-prepared.  Ambiance was wonderful...we loved the round table",Mess,Positive
Delicious dinner of scallops and trout. The appetizer of calamari was fabulous and the service at the bar with Tommi as our server was perfect. Awaiting music.,Mess,Positive
Tonight don't miss and Thursday night for the Splash Dance pool party,Facilities,Positive
Sources from Erdogan's office said he would meet Prime Minister Ahmet Davutoglu at 11 am (0800 GMT) on Tuesday.,Administration,Neutral
An incredible day in West Liberty\u002c Ky. A small but strong community moving forward after March 2 tornadoes.,Others,Positive
"""Saudi security forces opened fire on Shia protesters in the tense Qatif district of Eastern Province on Friday, Detail",Hostel,Negative
"first off, we walked in for a bigger table (6) and watched the manager, who didn't address us at ALL, make the host who had an injured arm put together 2 tables and rearrange the chairs without any help. The manager even made eye contact and still couldn't even say hello to us or the 2 people behind",Faculty,Negative
Medical facilities are inadequate with only basic first aid available.,Facilities,Negative
"""In other news, had a great Saturday on the town with and my old uni friend at a David Bowie tribute orchestra :P""",Others,Positive
"flashy , pretentious and as impenetrable as morvern's thick , working-class scottish accent .",Academics,Negative
"PSA: Apple event starts in 10 minutes, a worthy distraction for ignoring whatever class you may be in.",Academics,Positive
College doesn't maintain proper facilities for student recreation and entertainment,Others,Negative
Good night out with the boys\u002cparty bus down town tomorrow n osu Saturday,Facilities,Positive
Celtics game tomorrow night at 7:30!! How about a hometown win!,Hostel,Neutral
Just got done watching wwe Monday night raw I'm glad Seth rollins stayed the champion Randy Orton came close of being the champion,Hostel,Positive
"Tessaro's has some of the finest burgers in the US.  A wonderful \""corner bar\"" kind of atmosphere makes it THE place to take people in from out of town.  Grilled meats and daily seafood specials (try the prawns) are available and also an excellent choice, but the burger is easily the main event.  \",Others,Positive
Tomorrow in class\u002c me\u002c you and Ash are going to discuss ideas of what we\u2019d all like to do Saturday :),Academics,Neutral
Hostel infrastructure adapts to basic needs though innovation would be welcome,Hostel,Neutral
"On balance, peer study groups are common but not formally organized by the college.",Academics,Neutral
in Brownsville on the 18th floor of the project building stay dry my nigga,Academics,Neutral
[VIDEO] George Harrison: Living in the Material World. (Released November 11),Hostel,Neutral
"I love this place! So far I've been there twice for pepperoni rolls, once for pizza crust and pizza sauce, and another time to grab some frozen ravioli. Everything has been super tasty, especially the pepperoni rolls that everyone have been raving about. We got the prosciutto ravioli to cook at home",Mess,Positive
Mess staff are friendly and responsive to student dietary preferences.,Mess,Positive
"The coffee is on par with the other chains in Pittsburgh. I liked the open storefront and the quiet study room in the back. Also, the barista was very friendly! \n\nI was displeased with the small tables, uncomfortable seating, and the dim lighting. The wifi has a 2 hour limit and disconnected from",Academics,Neutral
"""No idea where Scott Walker sought medical care following his violent sink encounter, but he may want to obtain a second opinion!""",Facilities,Neutral
I come here for chicken on a stick & mung bean pancakes every time I am in the Strip District. I don't know what else to say about it besides that it's awesome--everything is prepared quickly and the little Korean woman who I always see working the stand is very pleasant. I always recommend the food,Mess,Positive
"I have a love-hate relationship with this place...  \n\nI love it because it's extremely close to me (so, it's convenient when I'm craving a beer) and the atmosphere on Sundays is outstanding.  I'm a giant Steeler fan, but you'll probably find fans from all 32 teams in Buffalo blues, which gives it",Others,Negative
"""Owl Dustin johnson always gets himself into contention. Then goes on a coke binge come the saturday night, and then totally blows up.""",Hostel,Neutral
Ricky Gervais | Friday Night with Jonathan Ross | 14/11/2003 Part 2 of 2 via,Hostel,Neutral
"i was super excited to try quiet storm when i moved to pittsburgh because all of the reviews i read were fantastic.  however, i have visited multiple times now continuously hoping for improvement and each time i've been disappointed.  let's start with the good things.  QS has a great atmosphere, it",Others,Negative
"Unfortunately being a Charlotte institution does not mean tasty food.\n\nOpen Kitchen has been around for a while, and it feels like it inside too. I have only found one thing on the menu that is actually edible (grilled chick sandwich). \n\nTheir tomato sauce is very nasty, tastes like it came stra",Mess,Negative
Best part of getting to the office first = choosing Friday tunes. (S/O to Mariah Carey.),Administration,Positive
"Made a reservation in May through Expedia, which I needed to cancel.  I called the hotel and cancelled, and was told I'd be charged a $25 cancellation fee.  Well, lo and behold, Oct 7, I saw a charge to my card for $435.00.  Called the hotel and was told that the charge was for the cancellation back",Administration,Negative
the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string . we're drawn in by the dark luster .,Administration,Positive
CLT is very easy to navigate through and with Pre-check at this airport getting to your gate is easy.\n\nLove the large food court as soon as you go through the checkpoint.,Facilities,Positive
"""It's 10pm. I'm sat in my chair watching , spaMing with Brock lesnar gifs. Great night.",Hostel,Positive
I like this airport because:\n- It has jamba juice\n- It has lots of flights and connections\n- It is clean and the people are pretty friendly\n\nMy complaint?\n- walkways are WAYYYYYYYY too narrow for the volume of people walking down each concourse,Administration,Positive
Students often complain that financial aid office staff are unhelpful and never return phone calls or emails.,Administration,Negative
"""Dallas folks - we have 2 extra tickets for Ed Sheeran on Sept 5. Suite level, platinum parking, $150 each. Let me know if you want them!""",Facilities,Neutral
Brain is fried ... won\u2019t turn off ... feels like Ground Hog day ... may need shock treatments to reboot!!!,Facilities,Negative
"Oh Sammy's...how glad I am to reconnect. I had first sampled the famous about five years ago and hadn't had one since.  Now, that I've moved the office downtown it's convenient for me to visit as much as I'd like.  Ray, Tom and I found ourselves wondering around the city around lunchtime trying to g",Administration,Neutral
"with three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it's enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",Administration,Positive
My middle daughter just told me a 5th grade presentation in her class was on Seth Rollins.,Academics,Neutral
wish you happy Holi - 08 March: PUTHUMUGANGAL THEVAI ...: Information about Science & Technology Course...,Academics,Positive
I was 8 turning 9 in the 4th grade when I started to support Justin. Now Im a freshman in highschool still loving him to this day Time flies,Academics,Positive
a family friend may not know much about Islam rules or may lie or it could be someone who wanna do bad things on their name!!,Others,Neutral
"Tonight at Tomorrow we'll start there and bus to Toyota at 2, or you can meet us at Toyota from 4-7""",Facilities,Neutral
Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo! Don\u2019t miss tomorrow night...,Faculty,Positive
Looking forward to speaking about Email Marketing at the Social Media Conference tomorrow in Grand Bend....,Others,Positive
"This is the only place I trust and can depend on to make a delicious-tasting smoothie.  The ingredients are fresh and the staff are SO FRIENDLY.\n\nThey offer a great variety of smoothies ranging from protein shakes to \""bulk-up\"" smoothies, energizing, and smoothies that you can treat as a snack or",Administration,Positive
Pretty good and decently priced for a Thai place. I was sick when I went there (the ginger tea helped me quite a bit). The wait staff was very friendly and came over to ask if we needed anything on a regular basis even though it was close to 10pm.\n\nSpicy noodles were great. We also ordered the lyc,Administration,Positive
a workshop mentality prevails .,Facilities,Negative
Saw them at Riot fest last Saturday in Chicago. Hopefully you'll have a moshtastic time like a I did!,Others,Positive
"What can you say about a chain like this? Well, the steaks are quality, and my filet was done Pittsburgh rare just as I asked. All the sides are pretty pedestrian steak-house fare. I will say the veg wasn't overcooked.\n\nThe decor needs a makeover big-time. Heavy cafe curtains and shutters cover th",Mess,Neutral
A common issue is that hostel rooms are cramped with three to four students sharing small spaces.,Hostel,Negative
"""RT the moment after the last election I have prepared my mind for 4 years of no leadership, may God help Nigeria""",Faculty,Negative
"Stopped In before a show at Heinz Hall.  It was not crowded, but the waiter was almost useless.  He did not know the beer list, drinks went unfilled, etc.  Plus I was served teriyaki fajitas.  That's right, these were the oddest fajitas I have ever been served.  The taste was OK, but it is not what",Facilities,Negative
Asif got to enrole at college tomorrow at like 9:( takin the piss,Others,Negative
the mantra behind the project seems to have been 'it's just a kids' flick . ' translation : 'we don't need to try very hard . ',Academics,Negative
"With the not-so-recent closing of Sweet Basil still looming in my mind, I have yet to find a new thai food home.  I headed to Thai Cuisine with high hopes and several positive reviews from friends.\n\nThe service was good, decor so-so, and prices were great.  In fact, I double-checked the bill becau",Mess,Neutral
"""Bing one-ups knowledge graph, hires Encyclopaedia Britannica to supply results: It may have retired from the cut...",Faculty,Neutral
"So dinner was filet & lobster, asparagus, mushrooms, wedge salad and sweet potato with fresh brewed coffee.  Outback has remarkable servers, delicious food and unbelievable customer service.  No worries mate - best steak in south Charlotte",Mess,Positive
"In most cases, the office hours are regular but not always aligned with student schedules.",Administration,Neutral
You going to be at the Nov 15 showing of TIC at Vans? Robbie is hyping the night to the locals. Free session will be bananas.,Hostel,Neutral
Apple Watch will Arrive at Best Buy on August 7: This greater availability of the Apple Watch may pla...,Faculty,Neutral
"wooooooo, getting drunk on a Wednesday night with Jack Kemp, basically a dream come true.""",Hostel,Positive
you got a sweet shout out at a Jon huntsman jr speech in St. Louis Monday night. Well done!,Hostel,Positive
"these three films form a remarkably cohesive whole , both visually and thematically , through their consistently sensitive and often exciting treatment of an ignored people .",Administration,Positive
Cupid did so much work da 1st time that he don\u2019t wanna be my friend no more,Others,Negative
We have an IOT workshop by at 11PM on the Friday - definitely worth going for inspiration!,Facilities,Positive
Had dinner here last night.  Service was pleasant and efficient.  Eggplant Parm was SALTY.  Veal Parm was tough and so thin.  Maybe 1/16 inch?  The breading was thicker than the veal.  At least the veal wasn't the pressed type.  Will probably not go back except perhaps to try the pizza.,Hostel,Negative
"My husband has revoked my Groupon privileges. If this review was just for the food it would be an easy 3 or 3.5 stars. The food was all delicious - we had the sauteed eggplant appetizer, the cucumber/tomato/onion salad, shishkabob dinner and burg dinner (not what I ordered but it was still good.) Th",Mess,Negative
I'm on Netflix tonight while eating cheesecake. Tuesday night for the win,Hostel,Positive
hard-core slasher aficionados will find things to like . . . but overall the halloween series has lost its edge .,Others,Negative
"I must be a glutton for punishment, because I keep finding myself hungrily returning to the Quiet Storm. The menu has slightly changed, and they are no longer cash only... This time it was the \""8th Ward\"" that inflicted extreme disappointment. Not sure what 8th Ward is supposed to mean, but I will",Mess,Negative
"I've been to New Orleans many times and have experienced some great Cajun style food, so I have pretty high standards.  For the most part, from what I've ordered,  CQ does a pretty damn good job.  I've been twice and ordered the \u00c9touff\u00e9e both times because it's very good.  It's got the per",Faculty,Neutral
Was cult viewing from my 6th form days with Vic\u2019s big night out. Channel 4 had all comedy/sport bases covered!,Administration,Positive
For Chinese food this place gets a three (3 yelp stars) from me.  I love the Chinese Cabbage and that was about it.  The Beef Dish I ordered was too salty and the Beef was over cooked though I do not think that was the determining factor   it tasted too plain  for my dish I rate it 2.55 yelp stars.,Mess,Neutral
"Mistake, they are not """"British"""", the UK Moslem community has no allegiance to the UK. 1st allegiance is to Islam.""",Others,Negative
Room facilities are basic but adequate for student accommodation needs,Hostel,Neutral
"Literally some of the best pizza that I've had in the 4.5 years that I have been in Pittsburgh. I've eaten here a couple of times and I have not had a bad experience yet. The pizzas are delicious, the gyros are wonderful, the falafel is yummy, and their simple cheese burgers and fries are touched by",Others,Positive
lol 7th grade boys\u002c don\u2019t tweet about hitting the gym when you\u2019re probably just eating cheetos & jackin it to wizards of waverly place,Academics,Neutral
Student assessment by faculty is fair though consistency across departments needed,Faculty,Neutral
Students appreciate that research laboratories are equipped with cutting-edge instruments.,Facilities,Positive
"""Come on Andy. Kids are in bed. Dinner is out of the way. 2nd beer is open. 50\"""""""" HD TV is on. Play your game. """,Hostel,Neutral
Don't get me wrong I think Ray Rice deserves a 2nd chance in the NFL and in the court of public opinion but Ryan Braun can't have that smh,Facilities,Neutral
"""Since my bro broke his arm he has choice of Sunday film so now we're watching Sharknado, sounds class""",Academics,Neutral
Poor lighting in corridors creates safety concerns especially at night.,Hostel,Negative
"The food today was all good ..we had chicken Alfredo ,kids ravioli , the new wings , risotto balls and the soup and salad , they were all tasty I really enjoyed the wings. The service was however pretty terrible the appetizers arrived after our meal we think they forgot that part of the order . the",Mess,Neutral
May the Lord give you Jay-Z and Beyonce's kinda love... No way that relationship is fake or for social media,Others,Positive
"The only reason anyone goes to this restaurant is to sit on the deck and drink.  I want to like this place so badly I keep coming back and hoping that it'll be awesome and it just never is.  Like dating someone who is very very hot but also very very stupid, it's amazing how much patience one can ha",Mess,Negative
"Lately, the Rock Bottom is hit or miss. The beers are always good and the Uppity Jagoff IPA is one of the best India Pale Ales I've ever tasted. The low point lately has been the food. I will never forgive the idiot in management who took the chicken quesadilla off the menu. That said, I ordered the",Mess,Negative
Awww I miss you girls too!! And yes tomorrow night ill see you at Young Life! :),Hostel,Positive
"""Marnin! Started my day with 7 Sun Salutes, (Yoga position that sounds like a cocktail) &amp; a foam roll, (gym equipment that sounds like cake)""",Facilities,Positive
"A local friend who considers Dr. Bebko an extraordinarily good vet checked and was told Dr. Bebko did consult with other out of area vets and would be happy to do that with my vet on behalf of my very sick kitty, but the cat's records would need to be faxed to him. \n\nMy vet's office, here in Texas",Administration,Negative
I kicked off Type 1 Diabetes Awareness Day with a high blood sugar thanks to too many chocolates last night. Well\u002c there\u2019s always tomorrow.,Hostel,Negative
Taiwan court extends ex-leader's jail term: TAIPEI: Taiwan's high court said Friday it has extended ex-leader Ch...,Facilities,Neutral
"Time Warner Cable is an incompetent company that runs a monopoly on internet services in certain neighborhoods.  They will enroll you in bill pay, then charge you late fees when their service fails to draw funds.  Not failure to draw funds from a lack of cash in the account.  No, this is a failure t",Facilities,Negative
